MAG,LOCAL DATETIME,LAT,LON,DEPTH
,y/m/d h:m:s,deg,deg,km
1.5,05/04/2022 07:20,38.711N,122.909W,8.05
0.3,05/04/2022 07:19,33.938N,116.700W,16.44
1.4,05/04/2022 07:12,38.820N,122.802W,2.77
1,05/04/2022 07:08,37.008N,121.468W,6.61
1,05/04/2022 07:01,36.014N,120.573W,3.79
0.7,05/04/2022 06:42,39.233N,120.087W,7.4
1,05/04/2022 06:02,33.877N,116.857W,14.45
0.7,05/04/2022 05:59,33.948N,116.704W,12.55
1.5,05/04/2022 05:32,35.892N,117.731W,3.79
1.8,05/04/2022 05:22,36.803N,121.384W,5.95
1.5,05/04/2022 05:18,38.169N,117.888W,10.4
0.6,05/04/2022 05:10,40.163N,119.646W,9.5
1.3,05/04/2022 05:05,36.182N,118.158W,6.18
0.7,05/04/2022 05:02,36.111N,117.838W,6.78
0.2,05/04/2022 04:41,36.723N,116.356W,6.4
1.7,05/04/2022 04:23,34.439N,119.289W,6.95
1,05/04/2022 04:13,33.487N,116.757W,7.65
0.7,05/04/2022 04:13,33.486N,116.756W,6.89
0.9,05/04/2022 04:00,33.310N,116.314W,10.75
0.5,05/04/2022 03:51,37.602N,118.804W,3.92
